sn,id,stock_name,symbol,sector
19,2764,Swadeshi Laghubitta Bittiya Sanstha Ltd.,SDESI,Microfinance
161,2765,Laxmi Equity Fund,LEMF,Mutual Fund
232,2766,Chhyangdi Hydropower Ltd.,CHL,Hydro Power
185,2767,Himalayan Power Partner Ltd.,HPPL,Hydro Power
150,2768,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,MSLB,Microfinance
122,2769,Nepal Hydro Developers Ltd.,NHDL,Hydro Power
37,2770,Siddhartha Equity Fund,SEF,Mutual Fund
24,2771,Support Microfinance Bittiya Sanstha Ltd.,SMB,Microfinance
54,2773,Sanima Equity Fund,SAEF,Mutual Fund
5,2774,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,USLB,Microfinance
77,2776,Radhi Bidyut Company Ltd,RADHI,Hydro Power
254,2777,Arambha Microfinance Bittiya Sanstha Ltd.,AMFI,Microfinance
101,2779,NIC Asia Growth Fund,NICGF,Mutual Fund
228,2780,Citizens Mutual Fund -1,CMF1,Mutual Fund
113,2781,Nepal Seva Laghubitta Bittiya Sanstha Ltd.,NSEWA,Microfinance
75,2783,Rairang Hydropower Development Company Ltd.,RRHP,Hydro Power
136,2784,Nadep Laghubittiya bittya Sanstha Ltd.,NADEP,Microfinance
89,2786,Panchakanya Mai Hydropower Ltd,PMHPL,Hydro Power
171,2787,Kalika power Company Ltd,KPCL,Hydro Power
256,2788,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,Hydro Power
176,2789,Joshi Hydropower Development Company Ltd,JOSHI,Hydro Power
260,2790,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,Microfinance
4,2792,Upper Tamakoshi Hydropower Ltd,UPPER,Hydro Power
57,2804,Samudayik Laghubitta Bittiya Sanstha Limited,SLBSL,Microfinance
208,2806,Ghalemdi Hydro Limited,GHL,Hydro Power
250,2807,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,Microfinance
43,2809,SHIVAM CEMENTS LTD,SHIVM,Manufacturing And Processing
6,2810,UNIVERSAL POWER COMPANY LTD,UPCL,Hydro Power
142,2811,Mountain Hydro Nepal Limited,MHNL,Hydro Power
30,2812,Sparsha Laghubitta Bittiya Sanstha Limited,SPARS,Microfinance
88,2813,Panchthar Power Compant Limited,PPCL,Hydro Power
212,2815,Ganapati Microfinance Bittiya Sanstha Limited,GMFBS,Microfinance
130,2816,Nepal Agro Laghubitta Bittiya Sanstha Limited,NAGRO,Microfinance
190,2824,Himalaya Urja Bikas Company Limited,HURJA,Hydro Power
290,2825,10% NIC Asia Debenture 2085/86,NICAD 85/86,Corporate Debenture
197,2826,Gurans Laghubitta Bittiya Sanstha Limited,GLBSL,Microfinance
288,2828,10% Sanima Bank Limited Debenture,SAND2085,Corporate Debenture
20,2829,Swabhimaan Laghubitta Bittiya Sanstha Limited,SMFBS,Microfinance
12,2831,Union Hydropower Limited,UNHPL,Hydro Power
181,2832,Infinity Laghubitta Bittiya Sanstha Limited,ILBS,Microfinance
287,2834,10% Sunrise Debenture 2080,SRD80,Corporate Debenture
139,2835,NABIL BALANCED FUND-2,NBF2,Mutual Fund
285,2840,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,GBD80/81,Corporate Debenture
73,2841,RASUWAGADHI HYDROPOWER COMPANY LIMITED,RHPL,Hydro Power
50,2842,SANJEN JALAVIDHYUT COMPANY LIMITED,SJCL,Hydro Power
66,2843,SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,SABSL,Microfinance
259,2845,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,AKBSL,Microfinance
295,2850,10 % NMB DEBENTURE 2085,NMBD2085,Corporate Debenture
276,2851,10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,Corporate Debenture
207,2852,Ghodighoda Laghubitta Bittiya Sanstha Ltd.,GGBSL,Microfinance
282,2854,10.25% NBBL Debenture 2085,NBBD2085,Corporate Debenture
14,2855,Tinau Mission Development Bank Limited,TMDBL,Development Banks
34,2859,Siddhartha Investment Growth Scheme - 2,SIGS2,Mutual Fund
49,2860,Saptakoshi Development Bank Ltd,SAPDBL,Development Banks
227,2862,CITIZENS MUTUAL FUND 2,CMF2,Mutual Fund
103,2863,NIC Asia Balanced Fund,NICBF,Mutual Fund
279,2864,10.25% SBL Debenture 2083,SBLD83,Corporate Debenture
283,2866,10.25% Machhapuchhre Bank Debenture 2085,MBLD2085,Corporate Debenture
95,2867,NMB 50,NMB50,Mutual Fund
281,2868,10.25% NIC Asia Debenture 2083/84,NICD83/84,Corporate Debenture
274,2869,11% NIC Asia Debenture 082/83,NICAD8283,Corporate Debenture
270,2870,8% BOK Debenture 2079,BOKD2079,Corporate Debenture
269,2871,8% EBL Debenture 2078,EBLD2078,Corporate Debenture
275,2872,10.50% SBL Debenture 2082,SBLD2082,Corporate Debenture
294,2873,10% Himalayan Bank Debenture 2083,HBLD83,Corporate Debenture
280,2875,10.25% Prabhu Bank  Debenture 2086,PBLD86,Corporate Debenture
25,2877,Sunrise First Mutual Fund,SFMF,Mutual Fund
278,2878,10.25% Sunrise Bank Debenture 2083,SRBLD83,Corporate Debenture
293,2879,10% Laxmi Bank Debenture 2086,LBLD86,Corporate Debenture
191,2880,Himal Dolakha Hydropower Company Limited,HDHPC,Hydro Power
115,2881,Nepal Reinsurance Company Limited,NRIC,Others
272,2882,12% ICFC Finance Limited Debenture 2083,ICFCD83,Corporate Debenture
273,2883,12 % Goodwill Finance Limited Debenture 2083,GWFD83,Corporate Debenture
284,2885,10.25% KBL Debenture 2086,KBLD86,Corporate Debenture
277,2886,10.35% Agricultural Bank Debenture 2083,ADBLD83,Corporate Debenture
100,2887,NIC ASIA Laghubitta Bittiya Sanstha Limited,NICLBSL,Microfinance
286,2889,10.25% Citizens Bank Debenture 2086,CIZBD86,Corporate Debenture
291,2890,10% Nepal SBI Bank Debenture 2086,SBIBD86,Corporate Debenture
292,2892,10% Nabil Debenture 2082,NBLD82,Corporate Debenture
257,2893,Ajod Insurance Limited,AIL,Non Life Insurance
263,2895,9% NIC Asia Debenture 2081/82,NICAD8182,Corporate Debenture
65,2896,Sadhana Laghubitta Bittiya Sanstha Limited,SDLBSL,Microfinance
92,2898,NRN Infrastructure and Development Limited,NRN,Investment
71,2900,Reliance Life Insurance Limited,RLI,Life Insurance
159,2902,Laxmi Unnati Kosh,LUK,Mutual Fund
158,2903,Liberty Energy Company Limited,LEC,Hydro Power
289,2904,10% Prabhu Bank Debenture 2084,PBLD84,Corporate Debenture
209,2905,General Insurance Company Nepal Ltd,GIC,Non Life Insurance
44,2907,Shiva Shree Hydropower Ltd,SSHL,Hydro Power
53,2908,Sanima General Insurance Limited,SGI,Non Life Insurance
265,2912,8.5% SBL Debenture 2084,SBLD84,Corporate Debenture
143,2913,Mountain Energy Nepal Limited,MEN,Hydro Power
9,2914,United IDI Mardi RB Hydropower Limited.,UMRH,Hydro Power
84,2915,Prabhu Life Insurance Limited,PLI,Life Insurance
234,2917,Chandragiri Hills Limited,CGH,Hotels
121,2919,Nepal Infrastructure Bank Limited,NIFRA,Investment
266,2922,8.5% Sanima Debenture 2087,SBD87,Corporate Debenture
52,2923,Sanima Large Cap Fund,SLCF,Mutual Fund
199,2924,GreenLife Hydropower Limited,GLH,Hydro Power
152,2925,Mahila Lagubitta Bittiya Sanstha Limited,MLBSL,Microfinance
174,2929,Jyoti Life Insurance Ltd,JLI,Life Insurance
267,2931,8.5% Nepal Investment Bank Debenture 2084,NIBD84,Corporate Debenture
262,2932,9.5% Manjushree Finance Limited Debenture 2085,MFLD85,Corporate Debenture
164,2933,Kumari Equity Fund,KEF,Mutual Fund
32,2934,Singati Hydro Energy Limited,SHEL,Hydro Power
